timestamp,equity,regime,regime_prob,window_id,alloc_4238,alloc_14328,alloc_9408,alloc_6218,alloc_2488
2023-11-29 00:00:00+00:00,546.14,WEAK_BEAR,1.0,0,0.0,0.0,0.0,0.0,0.0
2023-11-30 00:00:00+00:00,546.14,WEAK_BEAR,1.0,0,0.0,0.0,0.0,0.0,0.0
2023-12-01 00:00:00+00:00,546.14,WEAK_BEAR,1.0,0,0.0,0.0,0.0,0.0,0.0
2023-12-04 00:00:00+00:00,533.671650595976,WEAK_BEAR,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-05 00:00:00+00:00,529.6174399318919,WEAK_BEAR,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-06 00:00:00+00:00,525.5917231560718,WEAK_BEAR,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-07 00:00:00+00:00,531.2620314111173,WEAK_BEAR,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-08 00:00:00+00:00,543.9246932100133,WEAK_BEAR,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-11 00:00:00+00:00,545.2023185747834,WEAK_BEAR,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-12 00:00:00+00:00,541.6842403514529,WEAK_BEAR,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-13 00:00:00+00:00,548.7031056589983,WEAK_BULL,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-14 00:00:00+00:00,551.5656768311602,WEAK_BULL,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-15 00:00:00+00:00,555.8256333788923,WEAK_BULL,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-18 00:00:00+00:00,559.318144098388,WEAK_BULL,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-19 00:00:00+00:00,565.6915193184399,WEAK_BULL,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-20 00:00:00+00:00,560.7571126008271,WEAK_BULL,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-21 00:00:00+00:00,559.1246596888083,WEAK_BULL,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-22 00:00:00+00:00,557.4106645252261,WEAK_BULL,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-26 00:00:00+00:00,555.9568750395367,WEAK_BULL,1.0,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-27 00:00:00+00:00,559.0166175617182,STRONG_BEAR,0.9999999362015493,0,0.1615,0.1615,0.133,0.10200000000000001,0.133
2023-12-28 00:00:00+00:00,554.4542442158992,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2023-12-29 00:00:00+00:00,552.304547951948,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-02 00:00:00+00:00,550.5901993339686,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-03 00:00:00+00:00,548.2177016509913,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-04 00:00:00+00:00,548.3647689504484,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-05 00:00:00+00:00,548.2183787170047,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-08 00:00:00+00:00,552.7956442674183,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-09 00:00:00+00:00,551.9357367840295,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-10 00:00:00+00:00,556.2172219484789,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-11 00:00:00+00:00,555.6958126135575,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-12 00:00:00+00:00,557.8806246254139,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-16 00:00:00+00:00,558.1817110276515,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-17 00:00:00+00:00,557.9633840997813,STRONG_BEAR,1.0,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-18 00:00:00+00:00,563.1254633162264,STRONG_BEAR,0.9999999999999929,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-19 00:00:00+00:00,564.6165502211987,STRONG_BEAR,0.9999999999999929,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-22 00:00:00+00:00,572.5109344962501,STRONG_BEAR,0.9736080835465756,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-23 00:00:00+00:00,576.2861204694226,STRONG_BEAR,0.9999999946100324,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-24 00:00:00+00:00,575.7300484945464,STRONG_BEAR,0.9999999092649473,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-25 00:00:00+00:00,574.2864166839239,STRONG_BEAR,0.9999996133641568,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-26 00:00:00+00:00,572.0767331326582,STRONG_BEAR,0.9915180954472584,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
2024-01-29 00:00:00+00:00,579.4117879114075,STRONG_BEAR,0.9999829183560899,0,0.041999999999999996,0.041999999999999996,0.051000000000000004,0.041999999999999996,0.041999999999999996
