timestamp,regime,regime_prob,window_id
2023-11-29 00:00:00+00:00,STRONG_BULL,1.0,0
2023-11-30 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-01 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-04 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-05 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-06 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-07 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-08 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-11 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-12 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-13 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-14 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-15 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-18 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-19 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-20 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-21 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-22 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-26 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-27 00:00:00+00:00,STRONG_BULL,1.0,0
2023-12-28 00:00:00+00:00,STRONG_BULL,0.9999999999986926,0
2023-12-29 00:00:00+00:00,STRONG_BULL,0.9891556661392726,0
2024-01-02 00:00:00+00:00,STRONG_BULL,1.0,0
2024-01-03 00:00:00+00:00,STRONG_BULL,0.9998700645094568,0
2024-01-04 00:00:00+00:00,STRONG_BULL,0.5623988616577088,0
2024-01-05 00:00:00+00:00,CRASH,0.9999999999985221,0
2024-01-08 00:00:00+00:00,CRASH,0.9999996034244636,0
2024-01-09 00:00:00+00:00,STRONG_BULL,0.9999999999997442,0
2024-01-10 00:00:00+00:00,STRONG_BULL,1.0,0
2024-01-11 00:00:00+00:00,STRONG_BULL,0.9937038351422803,0
2024-01-12 00:00:00+00:00,CRASH,1.0,0
2024-01-16 00:00:00+00:00,CRASH,0.9999999999695532,0
2024-01-17 00:00:00+00:00,EUPHORIA,0.9999999908138619,0
2024-01-18 00:00:00+00:00,NEUTRAL,1.0,0
2024-01-19 00:00:00+00:00,NEUTRAL,0.9999999969519493,0
2024-01-22 00:00:00+00:00,NEUTRAL,0.9999988857477601,0
2024-01-23 00:00:00+00:00,EUPHORIA,1.0,0
2024-01-24 00:00:00+00:00,EUPHORIA,0.9999997601457981,0
2024-01-25 00:00:00+00:00,NEUTRAL,0.9999965666872334,0
2024-01-26 00:00:00+00:00,EUPHORIA,0.999999995078312,0
2024-01-29 00:00:00+00:00,NEUTRAL,0.9999999999928946,0
2024-01-30 00:00:00+00:00,NEUTRAL,0.9999999999999929,0
2024-01-31 00:00:00+00:00,NEUTRAL,0.9999999999999964,0
2024-02-01 00:00:00+00:00,CRASH,1.0,0
2024-02-02 00:00:00+00:00,NEUTRAL,1.0,0
2024-02-05 00:00:00+00:00,NEUTRAL,1.0,0
2024-02-06 00:00:00+00:00,CRASH,0.9999999999131859,0
2024-02-07 00:00:00+00:00,NEUTRAL,1.0,0
2024-02-08 00:00:00+00:00,NEUTRAL,1.0,0
2024-02-09 00:00:00+00:00,NEUTRAL,1.0,0
2024-02-12 00:00:00+00:00,NEUTRAL,1.0,0
2024-02-13 00:00:00+00:00,NEUTRAL,1.0,0
2024-02-14 00:00:00+00:00,NEUTRAL,0.9999999972595788,0
2024-02-15 00:00:00+00:00,NEUTRAL,0.999999999999929,0
2024-05-31 00:00:00+00:00,NEUTRAL,1.0,1
2024-06-03 00:00:00+00:00,NEUTRAL,1.0,1
2024-06-04 00:00:00+00:00,NEUTRAL,1.0,1
2024-06-05 00:00:00+00:00,NEUTRAL,1.0,1
2024-06-06 00:00:00+00:00,NEUTRAL,1.0,1
2024-06-07 00:00:00+00:00,WEAK_BULL,1.0,1
2024-06-10 00:00:00+00:00,WEAK_BULL,0.9999999999896012,1
2024-06-11 00:00:00+00:00,WEAK_BULL,0.9999999999998526,1
2024-06-12 00:00:00+00:00,WEAK_BULL,1.0,1
